full_text,cleaned-texts,stemmed-texts,tokenized-texts,pre-process,sentiment_score,sentiment
"Pak Prabowo ke Ganjar : apakah bpk setuju tntang gagasan saya untuk memberikan makan gratis""   Pak Prabowo ke Anies :"" apakah bpk setuju tentang gagasan saya u/mengirimkan anak2 indonesia ke LN untuk belajar kedokteran disana, karena kita kekurangan Dokter""  #debatcapres2024""",pak prabowo ke ganjar   apakah bpk setuju tntang gagasan saya untuk memberikan makan gratis    pak prabowo ke anies    apakah bpk setuju tentang gagasan saya u mengirimkan anak2 indonesia ke ln untuk belajar kedokteran disana  karena kita kekurangan dokter    debatcapres2024 ,pak prabowo ke ganjar apakah bpk tuju tntang gagas saya untuk beri makan gratis pak prabowo ke anies apakah bpk tuju tentang gagas saya u kirim anak2 indonesia ke ln untuk ajar dokter sana karena kita kurang dokter debatcapres2024,,pak prabowo ke ganjar apakah bpk tuju tntang gagas saya untuk beri makan gratis pak prabowo ke anies apakah bpk tuju tentang gagas saya u kirim anak2 indonesia ke ln untuk ajar dokter sana karena kita kurang dokter debatcapres2024,21,Positif
"Omong2 ttg pilihan walau satu keluarga blm ttu jg sama pilihannya. Bila aku pilih 03, tampaknya Ibuku kini pilih 01. Saat Pilpres lalu, kami berdua sama2 pilih pak Jokowi, tp Ayahku walau kubujuk, Pi pilih pak Jokowi sj namun bliau tetap teguh pilih Prabowo",omong2 ttg pilihan walau satu keluarga blm ttu jg sama pilihannya  bila aku pilih 03  tampaknya ibuku kini pilih 01  saat pilpres lalu  kami berdua sama2 pilih pak jokowi  tp ayahku walau kubujuk  pi pilih pak jokowi sj namun bliau tetap teguh pilih prabowo,omong2 ttg pilih walau satu keluarga blm ttu jg sama pilih bila aku pilih 03 tampak ibu kini pilih 01 saat pilpres lalu kami dua sama2 pilih pak jokowi tp ayah walau bujuk pi pilih pak jokowi sj namun bliau tetap teguh pilih prabowo,,omong2 ttg pilih walau satu keluarga blm ttu jg sama pilih bila aku pilih 03 tampak ibu kini pilih 01 saat pilpres lalu kami dua sama2 pilih pak jokowi tp ayah walau bujuk pi pilih pak jokowi sj namun bliau tetap teguh pilih prabowo,3,Positif
"Ketenagakerjaan di Indonesia butuh pemimpin yang kompeten, bukan orang seperti Prabowo yang cuma omong doang https://t.co/10HvvY5GXG",ketenagakerjaan di indonesia butuh pemimpin yang kompeten  bukan orang seperti prabowo yang cuma omong doang https   t co 10hvvy5gxg,ketenagakerjaan di indonesia butuh pimpin yang kompeten bukan orang seperti prabowo yang cuma omong doang https t co 10hvvy5gxg,,ketenagakerjaan di indonesia butuh pimpin yang kompeten bukan orang seperti prabowo yang cuma omong doang https t co 10hvvy5gxg,-6,Negatif
prabowo : ya saya setuju juga,prabowo   ya saya setuju juga,prabowo ya saya tuju juga,,prabowo ya saya tuju juga,6,Positif
Prabowo hari ini tampil cemerlang luar biasa bagus! #WaktunyaPrabowoGibran #02RangkulSemua,prabowo hari ini tampil cemerlang luar biasa bagus   waktunyaprabowogibran  02rangkulsemua,prabowo hari ini tampil cemerlang luar biasa bagus waktunyaprabowogibran 02rangkulsemua,,prabowo hari ini tampil cemerlang luar biasa bagus waktunyaprabowogibran 02rangkulsemua,6,Positif
Langkah progresif Prabowo dalam meresmikan 24 rumah sakit baru di seluruh dunia mencerminkan kepeduliannya terhadap tantangan kesehatan global dan tekadnya untuk memberikan solusi konkret. #WaktunyaPrabowoGibran  #AkhirnyaPilihPrabowo #GemoySamsul #DebatCapres2024 https://t.co/TiZcnw5GaQ,langkah progresif prabowo dalam meresmikan 24 rumah sakit baru di seluruh dunia mencerminkan kepeduliannya terhadap tantangan kesehatan global dan tekadnya untuk memberikan solusi konkret   waktunyaprabowogibran   akhirnyapilihprabowo  gemoysamsul  debatcapres2024 https   t co tizcnw5gaq,langkah progresif prabowo dalam resmi 24 rumah sakit baru di seluruh dunia cermin peduli hadap tantang sehat global dan tekad untuk beri solusi konkret waktunyaprabowogibran akhirnyapilihprabowo gemoysamsul debatcapres2024 https t co tizcnw5gaq,,langkah progresif prabowo dalam resmi 24 rumah sakit baru di seluruh dunia cermin peduli hadap tantang sehat global dan tekad untuk beri solusi konkret waktunyaprabowogibran akhirnyapilihprabowo gemoysamsul debatcapres2024 https t co tizcnw5gaq,8,Positif
"@agathadew_ @prabowo @gibran_tweet Bener mantap, sama2 KITAMaSBOWO KITAGBRan orang2 memiliki kepercayaan agat meraih harapan tinggi ketika mendapat prestasi yg hebat. @prabowo @gibran_tweet  #DebatCapres2024 #Gaya02MemangPaten PAKBOwo TegasLUGAS https://t.co/0RUHfvVQHq", agathadew   prabowo  gibran tweet bener mantap  sama2 kitamasbowo kitagbran orang2 memiliki kepercayaan agat meraih harapan tinggi ketika mendapat prestasi yg hebat   prabowo  gibran tweet   debatcapres2024  gaya02memangpaten pakbowo tegaslugas https   t co 0ruhfvvqhq,agathadew prabowo gibran tweet bener mantap sama2 kitamasbowo kitagbran orang2 milik percaya agat raih harap tinggi ketika dapat prestasi yg hebat prabowo gibran tweet debatcapres2024 gaya02memangpaten pakbowo tegaslugas https t co 0ruhfvvqhq,,agathadew prabowo gibran tweet bener mantap sama2 kitamasbowo kitagbran orang2 milik percaya agat raih harap tinggi ketika dapat prestasi yg hebat prabowo gibran tweet debatcapres2024 gaya02memangpaten pakbowo tegaslugas https t co 0ruhfvvqhq,12,Positif
@neohistoria_id @aniesbaswedan @ganjarpranowo @prabowo Kayak Pulau Zou. 🐘, neohistoria id  aniesbaswedan  ganjarpranowo  prabowo kayak pulau zou   ,neohistoria id aniesbaswedan ganjarpranowo prabowo kayak pulau zou,,neohistoria id aniesbaswedan ganjarpranowo prabowo kayak pulau zou,-1,Negatif
pak prabowo stopp ngomongin dokter teruss,pak prabowo stopp ngomongin dokter teruss,pak prabowo stopp ngomongin dokter teruss,,pak prabowo stopp ngomongin dokter teruss,-4,Negatif
@adindarari Real bgt Prabowo Gibran 1 putaran #WaktunyaPrabowoGibran, adindarari real bgt prabowo gibran 1 putaran  waktunyaprabowogibran,adindarari real bgt prabowo gibran 1 putar waktunyaprabowogibran,,adindarari real bgt prabowo gibran 1 putar waktunyaprabowogibran,6,Positif
pak prabowo musuh anda anak soshum se-indonesia,pak prabowo musuh anda anak soshum se indonesia,pak prabowo musuh anda anak soshum se indonesia,,pak prabowo musuh anda anak soshum se indonesia,3,Positif
VIDEO: Ganjar Tidak Setuju dengan Rencana Program Makan Siang Gratis Prabowo https://t.co/63G0OPT7Yu #Pemilu,video  ganjar tidak setuju dengan rencana program makan siang gratis prabowo https   t co 63g0opt7yu  pemilu,video ganjar tidak tuju dengan rencana program makan siang gratis prabowo https t co 63g0opt7yu milu,,video ganjar tidak tuju dengan rencana program makan siang gratis prabowo https t co 63g0opt7yu milu,9,Positif
Kayaknya Prabowo kurang peka deh sama kondisi pendidikan kita yang makin merosot https://t.co/yhdVgr9o4o,kayaknya prabowo kurang peka deh sama kondisi pendidikan kita yang makin merosot https   t co yhdvgr9o4o,kayak prabowo kurang peka deh sama kondisi didik kita yang makin merosot https t co yhdvgr9o4o,,kayak prabowo kurang peka deh sama kondisi didik kita yang makin merosot https t co yhdvgr9o4o,-4,Negatif
@ferrykoto @prabowo @gibran_tweet Thread apa ini?, ferrykoto  prabowo  gibran tweet thread apa ini ,ferrykoto prabowo gibran tweet thread apa ini,,ferrykoto prabowo gibran tweet thread apa ini,2,Positif
Lama lama ni Anies sama Ganjar kaya konsultannya Prabowo.   Udahlah paaak wkwkwkwk,lama lama ni anies sama ganjar kaya konsultannya prabowo    udahlah paaak wkwkwkwk,lama lama ni anies sama ganjar kaya konsultan prabowo udahlah paaak wkwkwkwk,,lama lama ni anies sama ganjar kaya konsultan prabowo udahlah paaak wkwkwkwk,-1,Negatif
@Riweh_Banget Ganjar cuma butuh 2 menit buat ngajarin Prabowo dan timses 02 tentang stunting dan gizi buruk 😭, riweh banget ganjar cuma butuh 2 menit buat ngajarin prabowo dan timses 02 tentang stunting dan gizi buruk  ,riweh banget ganjar cuma butuh 2 menit buat ngajarin prabowo dan timses 02 tentang stunting dan gizi buruk,,riweh banget ganjar cuma butuh 2 menit buat ngajarin prabowo dan timses 02 tentang stunting dan gizi buruk,-7,Negatif
"kayanya pak prabowo ini mulai ngefans sama pak anies, setuju muluuuu. keren banget pak anies🤭 #debatcapres2024",kayanya pak prabowo ini mulai ngefans sama pak anies  setuju muluuuu  keren banget pak anies   debatcapres2024,kaya pak prabowo ini mulai ngefans sama pak anies tuju muluuuu keren banget pak anies debatcapres2024,,kaya pak prabowo ini mulai ngefans sama pak anies tuju muluuuu keren banget pak anies debatcapres2024,23,Positif
"Dengan kebijakan yang sangat masuk akal, Prabowo memaparkan bahwa upaya mencapai Indonesia emas membutuhkan langkah-langkah konkret, bukan hanya wacana tanpa dasar. #WaktunyaPrabowoGibran  #AkhirnyaPilihPrabowo #GemoySamsul https://t.co/rmTO1lQurs",dengan kebijakan yang sangat masuk akal  prabowo memaparkan bahwa upaya mencapai indonesia emas membutuhkan langkah langkah konkret  bukan hanya wacana tanpa dasar   waktunyaprabowogibran   akhirnyapilihprabowo  gemoysamsul https   t co rmto1lqurs,dengan bijak yang sangat masuk akal prabowo papar bahwa upaya capai indonesia emas butuh langkah langkah konkret bukan hanya wacana tanpa dasar waktunyaprabowogibran akhirnyapilihprabowo gemoysamsul https t co rmto1lqurs,,dengan bijak yang sangat masuk akal prabowo papar bahwa upaya capai indonesia emas butuh langkah langkah konkret bukan hanya wacana tanpa dasar waktunyaprabowogibran akhirnyapilihprabowo gemoysamsul https t co rmto1lqurs,9,Positif
@sayadebus aku!! setuju banget sama prabowo-gibran bakal banyak ngasih perubahan ke arah yang lebih baik #WaktunyaPrabowoGibran, sayadebus aku   setuju banget sama prabowo gibran bakal banyak ngasih perubahan ke arah yang lebih baik  waktunyaprabowogibran,sayadebus aku tuju banget sama prabowo gibran bakal banyak ngasih ubah ke arah yang lebih baik waktunyaprabowogibran,,sayadebus aku tuju banget sama prabowo gibran bakal banyak ngasih ubah ke arah yang lebih baik waktunyaprabowogibran,29,Positif
VIDEO: Prabowo ke Ganjar: Bapak Setuju atau Tidak? https://t.co/BB7gv5bW0Q #Pemilu,video  prabowo ke ganjar  bapak setuju atau tidak  https   t co bb7gv5bw0q  pemilu,video prabowo ke ganjar bapak tuju atau tidak https t co bb7gv5bw0q milu,,video prabowo ke ganjar bapak tuju atau tidak https t co bb7gv5bw0q milu,7,Positif
"Daripada membangun rumah sakit mewah, Prabowo lebih baik membangun 1 RM Padang Sederhana setiap 1 Kabupaten untuk makan gratis.",daripada membangun rumah sakit mewah  prabowo lebih baik membangun 1 rm padang sederhana setiap 1 kabupaten untuk makan gratis ,daripada bangun rumah sakit mewah prabowo lebih baik bangun 1 rm padang sederhana tiap 1 kabupaten untuk makan gratis,,daripada bangun rumah sakit mewah prabowo lebih baik bangun 1 rm padang sederhana tiap 1 kabupaten untuk makan gratis,4,Positif
"prabowo kata gue mah ya ngasih makan itu bukan urusan negara tp urusan rumah tangga, urusan negara itu ngasih akses yang mudah biar rumah tangga bisa makan anjirrr kalo terus2an dari negara ngasih makan yang ada ancur negara",prabowo kata gue mah ya ngasih makan itu bukan urusan negara tp urusan rumah tangga  urusan negara itu ngasih akses yang mudah biar rumah tangga bisa makan anjirrr kalo terus2an dari negara ngasih makan yang ada ancur negara,prabowo kata gue mah ya ngasih makan itu bukan urus negara tp urus rumah tangga urus negara itu ngasih akses yang mudah biar rumah tangga bisa makan anjirrr kalo terus2an dari negara ngasih makan yang ada ancur negara,,prabowo kata gue mah ya ngasih makan itu bukan urus negara tp urus rumah tangga urus negara itu ngasih akses yang mudah biar rumah tangga bisa makan anjirrr kalo terus2an dari negara ngasih makan yang ada ancur negara,0,Netral
"Optimisme yang membara, bersama #02Melanjutkan dengan Prabowo Gibran! #chill08win https://t.co/NgbXcm3UtH",optimisme yang membara  bersama  02melanjutkan dengan prabowo gibran   chill08win https   t co ngbxcm3uth,optimisme yang bara sama 02melanjutkan dengan prabowo gibran chill08win https t co ngbxcm3uth,,optimisme yang bara sama 02melanjutkan dengan prabowo gibran chill08win https t co ngbxcm3uth,3,Positif
Mohon maaf pak @prabowo anda belum menjawab pertanyaan 😅 #AForEvery1 #AniesFinalStage #debatcapres2024 https://t.co/OOkS8RUkNT,mohon maaf pak  prabowo anda belum menjawab pertanyaan    aforevery1  aniesfinalstage  debatcapres2024 https   t co ooks8ruknt,mohon maaf pak prabowo anda belum jawab tanya aforevery1 aniesfinalstage debatcapres2024 https t co ooks8ruknt,,mohon maaf pak prabowo anda belum jawab tanya aforevery1 aniesfinalstage debatcapres2024 https t co ooks8ruknt,-7,Negatif
"@cimolkoreya @unmagnetism ia benar, anjir emang gk seru, padahal aku berharap prabowo pukul anies.", cimolkoreya  unmagnetism ia benar  anjir emang gk seru  padahal aku berharap prabowo pukul anies ,cimolkoreya unmagnetism ia benar anjir emang gk seru padahal aku harap prabowo pukul anies,,cimolkoreya unmagnetism ia benar anjir emang gk seru padahal aku harap prabowo pukul anies,2,Positif
"pak prabowo coba baca tels-teks yang ada di soal snbt. tidak ada tuh mencantumkan masalah kekurangan dokter sbg masalah serius. yang ada KEKURANGAN FASILITAS RUMAH SAKIT YANG TERSEBAR, teks-teks dalam soal snbt selalu menyertakan data yang valid kok.",pak prabowo coba baca tels teks yang ada di soal snbt  tidak ada tuh mencantumkan masalah kekurangan dokter sbg masalah serius  yang ada kekurangan fasilitas rumah sakit yang tersebar  teks teks dalam soal snbt selalu menyertakan data yang valid kok ,pak prabowo coba baca tels teks yang ada di soal snbt tidak ada tuh cantum masalah kurang dokter sbg masalah serius yang ada kurang fasilitas rumah sakit yang sebar teks teks dalam soal snbt selalu serta data yang valid kok,,pak prabowo coba baca tels teks yang ada di soal snbt tidak ada tuh cantum masalah kurang dokter sbg masalah serius yang ada kurang fasilitas rumah sakit yang sebar teks teks dalam soal snbt selalu serta data yang valid kok,-24,Negatif
"hrs ngasih tau prabowo ky apa ya kalo problemnya itu bukan nakes yg kurang TAPI pemerataan faskes yg blm menyeluruh. ada 300 FK tapi tempat mereka praktiknya cuma sekian persen mah sama aja boong. high demand, low supply kalo pake ilmu soshum",hrs ngasih tau prabowo ky apa ya kalo problemnya itu bukan nakes yg kurang tapi pemerataan faskes yg blm menyeluruh  ada 300 fk tapi tempat mereka praktiknya cuma sekian persen mah sama aja boong  high demand  low supply kalo pake ilmu soshum,hrs ngasih tau prabowo ky apa ya kalo problem itu bukan nakes yg kurang tapi perata faskes yg blm seluruh ada 300 fk tapi tempat mereka praktik cuma sekian persen mah sama aja boong high demand low supply kalo pake ilmu soshum,,hrs ngasih tau prabowo ky apa ya kalo problem itu bukan nakes yg kurang tapi perata faskes yg blm seluruh ada 300 fk tapi tempat mereka praktik cuma sekian persen mah sama aja boong high demand low supply kalo pake ilmu soshum,-14,Negatif
prabowo adalah gw ketika stres: makan jawabannya,prabowo adalah gw ketika stres  makan jawabannya,prabowo adalah gw ketika stres makan jawab,,prabowo adalah gw ketika stres makan jawab,-6,Negatif
@praburevolusi @prabowo berat..berat beraknya sekebon..🤣, praburevolusi  prabowo berat  berat beraknya sekebon   ,praburevolusi prabowo berat berat berak kebon,,praburevolusi prabowo berat berat berak kebon,-2,Negatif
"Kayaknya bokap gue pilih prabowo gaksih ini, hampir sama logikanya.",kayaknya bokap gue pilih prabowo gaksih ini  hampir sama logikanya ,kayak bokap gue pilih prabowo gaksih ini hampir sama logika,,kayak bokap gue pilih prabowo gaksih ini hampir sama logika,2,Positif
"Ganjar debatnya bagus banget tapi blunder segede kanjut karena ngusulin student loan  Anies gaada blunder samsek tapi kurang attacking banget, mau padetin isu yang dibawa. Makanya kerasa undertoned banget,  Prabowo ga siap debat, tapi kelola emosinya berkembang pesat. Nir-gagasan",ganjar debatnya bagus banget tapi blunder segede kanjut karena ngusulin student loan  anies gaada blunder samsek tapi kurang attacking banget  mau padetin isu yang dibawa  makanya kerasa undertoned banget   prabowo ga siap debat  tapi kelola emosinya berkembang pesat  nir gagasan,ganjar debat bagus banget tapi blunder gede kanjut karena ngusulin student loan anies gaada blunder samsek tapi kurang attacking banget mau padetin isu yang bawa makanya rasa undertoned banget prabowo ga siap debat tapi kelola emosi kembang pesat nir gagas,,ganjar debat bagus banget tapi blunder gede kanjut karena ngusulin student loan anies gaada blunder samsek tapi kurang attacking banget mau padetin isu yang bawa makanya rasa undertoned banget prabowo ga siap debat tapi kelola emosi kembang pesat nir gagas,-12,Negatif
"Prabowo-Gibran mendukung integrasi sistem transportasi digital, memastikan mobilitas yang aman dan efisien bagi semua warga. #WaktunyaPrabowoGibran https://t.co/k3WcSUoxua",prabowo gibran mendukung integrasi sistem transportasi digital  memastikan mobilitas yang aman dan efisien bagi semua warga   waktunyaprabowogibran https   t co k3wcsuoxua,prabowo gibran dukung integrasi sistem transportasi digital pasti mobilitas yang aman dan efisien bagi semua warga waktunyaprabowogibran https t co k3wcsuoxua,,prabowo gibran dukung integrasi sistem transportasi digital pasti mobilitas yang aman dan efisien bagi semua warga waktunyaprabowogibran https t co k3wcsuoxua,11,Positif
belom ditambah dokter dari luar gimana dah pak prabowo,belom ditambah dokter dari luar gimana dah pak prabowo,bom tambah dokter dari luar gimana dah pak prabowo,,bom tambah dokter dari luar gimana dah pak prabowo,-1,Negatif
Lanjutannya nih gengs... https://t.co/1de134PV33,lanjutannya nih gengs    https   t co 1de134pv33,lanjut nih gengs https t co 1de134pv33,,lanjut nih gengs https t co 1de134pv33,-1,Negatif
gw takut prabowo ga paham sm istilah kuratif preventif wkw,gw takut prabowo ga paham sm istilah kuratif preventif wkw,gw takut prabowo ga paham sm istilah kuratif preventif wkw,,gw takut prabowo ga paham sm istilah kuratif preventif wkw,-2,Negatif
"Anies: jangan loncat langsung sebut ini kebutuhan. Karena di lapangan bisa jadi berbeda. Dan tidak harus ke luar, bisa profesor dan institusinya di bawa ke sini  Prabowo: saya kira datanya cukup jelas, kita kekurangan 140rb dokter  Anies: preventif juga penting bagaimana mencegah",anies  jangan loncat langsung sebut ini kebutuhan  karena di lapangan bisa jadi berbeda  dan tidak harus ke luar  bisa profesor dan institusinya di bawa ke sini  prabowo  saya kira datanya cukup jelas  kita kekurangan 140rb dokter  anies  preventif juga penting bagaimana mencegah,anies jangan loncat langsung sebut ini butuh karena di lapang bisa jadi beda dan tidak harus ke luar bisa profesor dan institusi di bawa ke sini prabowo saya kira data cukup jelas kita kurang 140rb dokter anies preventif juga penting bagaimana cegah,,anies jangan loncat langsung sebut ini butuh karena di lapang bisa jadi beda dan tidak harus ke luar bisa profesor dan institusi di bawa ke sini prabowo saya kira data cukup jelas kita kurang 140rb dokter anies preventif juga penting bagaimana cegah,4,Positif
kayaknya klo prabowo jadi presiden gue bikin channel youtube asmr mukbang makanan indonesia,kayaknya klo prabowo jadi presiden gue bikin channel youtube asmr mukbang makanan indonesia,kayak klo prabowo jadi presiden gue bikin channel youtube asmr mukbang makan indonesia,,kayak klo prabowo jadi presiden gue bikin channel youtube asmr mukbang makan indonesia,6,Positif
"Bersama prabowo, full madanggg",bersama prabowo  full madanggg,sama prabowo full madanggg,,sama prabowo full madanggg,6,Positif
konsep pak prabowo kali ini butuh validasi kah? #debatcapres2024,konsep pak prabowo kali ini butuh validasi kah   debatcapres2024,konsep pak prabowo kali ini butuh validasi kah debatcapres2024,,konsep pak prabowo kali ini butuh validasi kah debatcapres2024,-2,Negatif
pak @prabowo tapi kesehatan gk seputar dokter aja tau ??? gimana nasib nakes lain ?? ini FK doang yang mau di buatin 300 fakultas nih ??,pak  prabowo tapi kesehatan gk seputar dokter aja tau     gimana nasib nakes lain    ini fk doang yang mau di buatin 300 fakultas nih   ,pak prabowo tapi sehat gk putar dokter aja tau gimana nasib nakes lain ini fk doang yang mau di buatin 300 fakultas nih,,pak prabowo tapi sehat gk putar dokter aja tau gimana nasib nakes lain ini fk doang yang mau di buatin 300 fakultas nih,-8,Negatif
ternyata pak prabowo juga butuh validasi,ternyata pak prabowo juga butuh validasi,nyata pak prabowo juga butuh validasi,,nyata pak prabowo juga butuh validasi,2,Positif
Prabowo di debat kali ini https://t.co/6T0cQfRS4d,prabowo di debat kali ini https   t co 6t0cqfrs4d,prabowo di debat kali ini https t co 6t0cqfrs4d,,prabowo di debat kali ini https t co 6t0cqfrs4d,5,Positif
"pak anies tanya what + how to solve it tentang isu perempuan tapi pak prabowo jawabnya kita harus memberikan pendidikan dan pelayanan kesehatan"" ""kita harus kurangi angka kematian ibu"" ""upaya kesetaraan gender sangat penting dan saya akan mendorong upaya peranan itu""""",pak anies tanya what   how to solve it tentang isu perempuan tapi pak prabowo jawabnya kita harus memberikan pendidikan dan pelayanan kesehatan   kita harus kurangi angka kematian ibu   upaya kesetaraan gender sangat penting dan saya akan mendorong upaya peranan itu  ,pak anies tanya what how to solve it tentang isu perempuan tapi pak prabowo jawab kita harus beri didik dan layan sehat kita harus kurang angka mati ibu upaya tara gender sangat penting dan saya akan dorong upaya peran itu,,pak anies tanya what how to solve it tentang isu perempuan tapi pak prabowo jawab kita harus beri didik dan layan sehat kita harus kurang angka mati ibu upaya tara gender sangat penting dan saya akan dorong upaya peran itu,-4,Negatif
@thx0ma Diculik prabowo, thx0ma diculik prabowo,thx0ma culik prabowo,,thx0ma culik prabowo,-2,Negatif
@detikcom Pola pikir dalam metode pengambilan kebijakan @aniesbaswedan untuk mengedepankan diskusi sebelum menetapkan kebijakan saat menanggapi program beasiswa dokter ke luar negeri milik @prabowo menunjukkan metode pengambilan keputusan yang berkelas, detikcom pola pikir dalam metode pengambilan kebijakan  aniesbaswedan untuk mengedepankan diskusi sebelum menetapkan kebijakan saat menanggapi program beasiswa dokter ke luar negeri milik  prabowo menunjukkan metode pengambilan keputusan yang berkelas,detikcom pola pikir dalam metode ambil bijak aniesbaswedan untuk depan diskusi belum tetap bijak saat tanggap program beasiswa dokter ke luar negeri milik prabowo tunjuk metode ambil putus yang kelas,,detikcom pola pikir dalam metode ambil bijak aniesbaswedan untuk depan diskusi belum tetap bijak saat tanggap program beasiswa dokter ke luar negeri milik prabowo tunjuk metode ambil putus yang kelas,19,Positif
Prabowo akan membawa ekonomi yang baik bagi Indonesia #KemiskinanNolPersen02  NoIKemiskinan Targetnya02,prabowo akan membawa ekonomi yang baik bagi indonesia  kemiskinannolpersen02  noikemiskinan targetnya02,prabowo akan bawa ekonomi yang baik bagi indonesia kemiskinannolpersen02 noikemiskinan targetnya02,,prabowo akan bawa ekonomi yang baik bagi indonesia kemiskinannolpersen02 noikemiskinan targetnya02,12,Positif
Gimana mau maju kalau pemimpinnya kayak Prabowo yang gak ngerti gimana mengelola sumber daya manusia dengan baik? https://t.co/h8VvlhtTvB,gimana mau maju kalau pemimpinnya kayak prabowo yang gak ngerti gimana mengelola sumber daya manusia dengan baik  https   t co h8vvlhttvb,gimana mau maju kalau pimpin kayak prabowo yang gak ngerti gimana kelola sumber daya manusia dengan baik https t co h8vvlhttvb,,gimana mau maju kalau pimpin kayak prabowo yang gak ngerti gimana kelola sumber daya manusia dengan baik https t co h8vvlhttvb,9,Positif
@dayatpiliang karna mungkin sejujurnya pak prabowo ini mau perubahan cuma mungkin di suruh sm jkw untuk melanjutkan 🥹, dayatpiliang karna mungkin sejujurnya pak prabowo ini mau perubahan cuma mungkin di suruh sm jkw untuk melanjutkan  ,dayatpiliang karna mungkin jujur pak prabowo ini mau ubah cuma mungkin di suruh sm jkw untuk lanjut,,dayatpiliang karna mungkin jujur pak prabowo ini mau ubah cuma mungkin di suruh sm jkw untuk lanjut,0,Netral
"GANJAR KAGA TERIMA, BILANG PRABOWO NGELES 😭😭  Ganjar: jejak digital bossss tidak pernah berbohong tidak pernah hilang!! 😤  #debatcapres #prabowo #ganjar https://t.co/XhCgZ9Vqwa",ganjar kaga terima  bilang prabowo ngeles     ganjar  jejak digital bossss tidak pernah berbohong tidak pernah hilang       debatcapres  prabowo  ganjar https   t co xhcgz9vqwa,ganjar kaga terima bilang prabowo ngeles ganjar jejak digital bossss tidak pernah bohong tidak pernah hilang debatcapres prabowo ganjar https t co xhcgz9vqwa,,ganjar kaga terima bilang prabowo ngeles ganjar jejak digital bossss tidak pernah bohong tidak pernah hilang debatcapres prabowo ganjar https t co xhcgz9vqwa,-7,Negatif
mindset pa prabowo https://t.co/FCL38o72cp,mindset pa prabowo https   t co fcl38o72cp,mindset pa prabowo https t co fcl38o72cp,,mindset pa prabowo https t co fcl38o72cp,4,Positif
"Prabowo telah mengabdi dengan setia, sekarang bersama Gibran, mereka siap hadapi tantangan baru untuk membuat Indonesia lebih baik. Prabowo-Gibran menang? #WaktunyaPrabowoGibran #02RangkulSemua",prabowo telah mengabdi dengan setia  sekarang bersama gibran  mereka siap hadapi tantangan baru untuk membuat indonesia lebih baik  prabowo gibran menang   waktunyaprabowogibran  02rangkulsemua,prabowo telah abdi dengan setia sekarang sama gibran mereka siap hadap tantang baru untuk buat indonesia lebih baik prabowo gibran menang waktunyaprabowogibran 02rangkulsemua,,prabowo telah abdi dengan setia sekarang sama gibran mereka siap hadap tantang baru untuk buat indonesia lebih baik prabowo gibran menang waktunyaprabowogibran 02rangkulsemua,26,Positif
@unmagnetism Gara2 kasus rating kemarin skrng tiap jawab panggilnya ‘pak prabowo yang saya hormati’😭, unmagnetism gara2 kasus rating kemarin skrng tiap jawab panggilnya  pak prabowo yang saya hormati  ,unmagnetism gara2 kasus rating kemarin skrng tiap jawab panggil pak prabowo yang saya hormat,,unmagnetism gara2 kasus rating kemarin skrng tiap jawab panggil pak prabowo yang saya hormat,-1,Negatif
Sepertinya Pak Prabowo bakal nyoblos AMIN deh,sepertinya pak prabowo bakal nyoblos amin deh,seperti pak prabowo bakal nyoblos amin deh,,seperti pak prabowo bakal nyoblos amin deh,0,Netral
@budimandjatmiko @prabowo @gibran_tweet Impor beras buat makan gratis, budimandjatmiko  prabowo  gibran tweet impor beras buat makan gratis,budimandjatmiko prabowo gibran tweet impor beras buat makan gratis,,budimandjatmiko prabowo gibran tweet impor beras buat makan gratis,4,Positif
"Setiap Pak Prabowo bilang setuju, kita hitung sebagai berapa kali enhypen main di indo",setiap pak prabowo bilang setuju  kita hitung sebagai berapa kali enhypen main di indo,tiap pak prabowo bilang tuju kita hitung bagai berapa kali enhypen main di indo,,tiap pak prabowo bilang tuju kita hitung bagai berapa kali enhypen main di indo,4,Positif
Balasan Menohok Ganjar ke Prabowo soal Kebudayaan: Masa Takut Sama Pentasnya Butet? https://t.co/71cK49ssf7,balasan menohok ganjar ke prabowo soal kebudayaan  masa takut sama pentasnya butet  https   t co 71ck49ssf7,balas tohok ganjar ke prabowo soal budaya masa takut sama pentas butet https t co 71ck49ssf7,,balas tohok ganjar ke prabowo soal budaya masa takut sama pentas butet https t co 71ck49ssf7,-1,Negatif
Prabowo less emotional ya kayanya malem ini,prabowo less emotional ya kayanya malem ini,prabowo less emotional ya kaya malem ini,,prabowo less emotional ya kaya malem ini,0,Netral
prabowo fix menang presiden tapi anies ganjar masuk kabinet nya  gweuhj yg mahasiswa: https://t.co/N4DBtafS4w,prabowo fix menang presiden tapi anies ganjar masuk kabinet nya  gweuhj yg mahasiswa  https   t co n4dbtafs4w,prabowo fix menang presiden tapi anies ganjar masuk kabinet nya gweuhj yg mahasiswa https t co n4dbtafs4w,,prabowo fix menang presiden tapi anies ganjar masuk kabinet nya gweuhj yg mahasiswa https t co n4dbtafs4w,13,Positif
